xRot	yRot	zRot	xAcc	yAcc	zAcc	status	seqnum	temp
-1.15191213013e-07	9.69216529256e-08	-9.17026277136e-09	-0.00159433018416	-0.00213218666613	0.998871088028	True	30	37	
-8.98468996979e-08	7.84155957945e-08	8.29593176377e-08	2.2981002985e-05	-0.00490795494989	0.997404277325	True	31	37	
-4.35685691969e-08	-2.89186008473e-08	8.90146409915e-08	-0.00370065728202	-0.00453622685745	1.00007510185	True	32	37	
-3.46216495473e-08	9.37168849191e-08	-8.67878284794e-08	-0.00423160381615	-0.00556539557874	0.999166250229	True	33	37	
-3.35532988061e-08	7.21958883787e-08	-9.62191251119e-08	-0.00125988177024	-0.0029844394885	0.999824106693	True	34	37	
-1.16449481169e-08	-7.83961553452e-08	9.01188812463e-09	-0.00399162108079	-0.000491173297632	0.998235702515	True	35	37	
1.28032723978e-07	2.22707097208e-08	3.78063766959e-08	-0.00227089622058	-0.00266936281696	0.998580574989	True	36	37	
-1.06357402885e-08	7.06812883777e-08	-2.62052157751e-08	-0.00155520823319	-0.00179790623952	0.998198509216	True	37	37	
6.18780902073e-08	1.23224324966e-07	-5.01851822321e-08	-0.00440018856898	-0.00215072440915	0.99840426445	True	38	37	
-1.24214423636e-07	4.97956840206e-08	7.63672005633e-08	-0.00101561541669	-0.0064495340921	1.00041818619	True	39	37	
-2.16553122101e-08	-1.09004339777e-07	2.84261485461e-08	-0.00114801933523	-0.00476585142314	0.999351322651	True	40	37	
4.76621799805e-08	3.42549775212e-08	-6.53580372045e-08	-0.000520117231645	0.000289945397526	1.00123178959	True	41	37	
-1.04844843918e-07	5.67273650276e-09	-1.95289686644e-08	-0.00219200225547	-0.00363187817857	0.998947262764	True	42	37	
2.23785878717e-08	4.22397015143e-08	-9.31441803687e-08	-0.00223795790225	-0.0011019752128	0.99481511116	True	43	37	
8.6412065059e-08	4.97303567215e-08	5.56864101497e-08	-0.00221226899885	-0.0010265505407	0.999706268311	True	44	37	
-3.12205905573e-08	9.13851962991e-08	1.02378820088e-07	-0.00229531223886	-0.00732834404334	0.99902254343	True	45	37	
-5.58255628391e-08	1.1583378523e-07	2.14870805593e-08	-0.00107345159631	-0.00369953829795	0.996794879436	True	46	37	
-7.71382744347e-08	2.42866633471e-08	2.88744073096e-09	-0.00429760478437	-0.00440697837621	0.998351573944	True	47	37	
-1.19629945061e-07	1.00323603647e-07	-1.28664268573e-07	-0.00343867926858	-0.00346139585599	1.00032174587	True	48	37	
-5.28386223664e-08	1.53584110762e-07	2.27863864666e-07	-0.00169209029991	-0.00321883521974	1.00025975704	True	49	37	
2.8479139047e-08	-2.16881446136e-08	-7.56946505476e-08	-0.00130191794597	-0.00667881034315	0.998269319534	True	50	37	
-7.31371869733e-08	1.44960212722e-08	-1.02318388429e-07	-0.00340312812477	-0.0044847773388	0.998950779438	True	51	37	
2.90095893973e-08	4.04567970236e-08	1.12879639858e-07	-0.00227611511946	-0.00239390856586	0.995178997517	True	52	37	
-2.73506035597e-08	-2.73803770767e-08	-8.58435633688e-09	9.07674620976e-06	-0.000653377384879	0.999017119408	True	53	37	
-1.03231514004e-07	1.10856127833e-07	9.02039758444e-08	-0.00258944206871	-0.00213790824637	0.999238729477	True	54	37	
-4.75884709417e-09	2.1793181304e-07	1.12075547065e-07	-0.00487025268376	-0.0015347750159	0.996181368828	True	55	37	
-1.13501407384e-07	3.83314464614e-08	1.49254553161e-09	-0.00333396485075	-0.00402043107897	1.00188946724	True	56	37	
