xRot	yRot	zRot	xAcc	yAcc	zAcc	status	seqnum	temp
-9.06703974124e-08	-7.82366740282e-08	-4.00215283136e-09	-0.00167671882082	-0.000478647853015	1.00051760674	True	109	28	
9.32318329205e-08	5.57150556801e-08	1.15224196406e-07	-0.00353903952055	0.00400931295007	1.00052142143	True	110	28	
2.45607992611e-07	8.84185951122e-08	1.45546607655e-07	-0.00342485518195	-0.000948270899244	1.00193965435	True	111	28	
8.45368646196e-08	1.46844342908e-07	1.01807287933e-07	-0.00106631207746	-0.00378899904899	1.00097501278	True	112	28	
8.66131628641e-08	-5.04411756808e-09	1.18364496871e-07	-0.000916327815503	0.000366553664207	1.00265884399	True	113	28	
5.01139716391e-08	1.28524817455e-07	7.90719738575e-08	0.00182532786857	0.000869390554726	1.00023126602	True	114	28	
9.57408374802e-08	6.15920328073e-08	5.45163416632e-08	-0.000380202371161	0.000911077659111	0.998205780983	True	115	28	
8.47698160555e-08	-1.34225487614e-07	8.0352847931e-08	-0.00344190280885	0.000499509565998	1.00000929832	True	116	28	
-4.43274323914e-08	-8.79630874806e-08	-6.15495281409e-08	-0.0053032990545	-0.00013596205099	0.995199143887	True	117	28	
1.68447414239e-07	-6.96749324902e-08	5.97663998292e-08	-0.00516056828201	0.00277935015038	0.99593770504	True	118	28	
1.29055592879e-07	-8.5786545867e-08	1.35219536901e-07	-0.00291076046415	0.00191731168889	1.00048387051	True	119	28	
2.5721621455e-07	2.18942890484e-08	1.63510947004e-07	-0.00237030466087	0.00281885429285	1.00328218937	True	120	28	
1.25290824826e-07	7.2344633395e-08	2.25823733047e-08	-0.00190506363288	0.00110699038487	1.00020682812	True	121	28	
4.41079883728e-08	-5.65469342462e-08	1.47948298945e-07	-0.00351294130087	-0.00114640675019	0.997192561626	True	122	28	
3.12287617987e-08	2.74817928414e-08	1.27398083194e-08	-0.000988610787317	0.00219549634494	1.00075018406	True	123	28	
4.23061479182e-08	-2.1533105965e-08	-9.35529556045e-08	0.000730388564989	0.000719559262507	0.999730348587	True	124	28	
1.23599960489e-07	2.94787945165e-08	8.56024797713e-08	-0.00503801973537	0.00350977736525	1.00140094757	True	125	28	
6.71704185606e-08	4.39254073115e-08	-4.87839590946e-09	-0.00442116055638	0.000977211166173	0.999575734138	True	126	28	
-8.65789289151e-08	8.79640538187e-08	-6.41852082595e-08	0.00183494354133	0.000843379064463	0.998911082745	True	127	28	
9.10831872147e-08	9.87993828971e-08	1.04008265112e-07	-0.00349868019111	0.0013581532985	0.999371707439	True	0	28	
2.00832616315e-07	-1.60126290893e-07	7.51057598336e-08	-0.00436247745529	-0.00408355239779	1.00367212296	True	1	28	
-5.68822393632e-08	1.0094307612e-07	5.31859640773e-08	-0.00286744651385	0.000267573894234	1.0025357008	True	2	28	
2.15807389736e-07	8.30287447684e-08	6.10355925801e-08	-0.00216084439307	-0.00063300965121	1.00280094147	True	3	28	
2.27205436687e-08	-5.61031292534e-08	-7.04805387386e-08	-0.0022089688573	0.00164140865672	1.00027310848	True	4	28	
2.15642145918e-07	2.82105283578e-10	2.09855670619e-07	-0.00369567447342	0.00439858064055	0.998331308365	True	5	28	
1.99992555849e-07	-6.65682762246e-08	1.51089594169e-07	-0.00175427703653	-0.00362022896297	1.00017929077	True	6	28	
-3.05716660876e-08	-4.07630835753e-08	1.95389489477e-07	0.000634292257018	0.000622152816504	1.00026869774	True	7	28	
1.52398541786e-07	-1.62606834664e-08	-2.34345947092e-08	0.00127249408979	-0.000391341629438	0.997102618217	True	8	28	
-1.34931221751e-08	4.14026715134e-08	-2.60014218156e-07	-0.00498322723433	0.000234592851484	0.999446868896	True	9	28	
-8.37284375166e-08	1.79652317911e-07	2.96573663405e-08	-0.00340933562256	0.00559804216027	1.00160646439	True	10	28	
2.35024529616e-07	8.1838585686e-08	7.17876247336e-08	-0.000787573750131	-0.000741817348171	1.00082480907	True	11	28	
2.00715504661e-07	-3.23687245896e-08	2.71276565655e-08	-0.000348615198163	0.00181184941903	1.0015411377	True	12	28	
1.0115071003e-09	-2.99761104827e-08	2.71157830412e-07	0.000951495661866	0.000976459297817	0.99612557888	True	13	28	
9.37404891488e-08	3.80762230634e-08	1.37896222441e-07	0.00170858425554	-0.00264803972095	0.99730694294	True	14	28	
1.7707820632e-07	1.46017086422e-07	1.40860521469e-07	0.000392688147258	0.00400423677638	1.00098276138	True	15	28	
1.15940366641e-07	5.18583114228e-08	-2.88684560701e-08	-0.00353609817103	-0.00136177812237	0.998549520969	True	16	28	
5.23424290577e-08	1.44034771665e-07	-1.18435679042e-08	-0.00456981640309	0.00161403557286	0.998377144337	True	17	28	
1.33865412977e-07	1.30217415517e-07	2.0007686885e-07	-0.00187417678535	0.00497773196548	0.996083140373	True	18	28	
-1.02213739694e-07	7.01320113095e-09	-5.14198248425e-08	-0.00339416693896	-0.00257616117597	0.998973309994	True	19	28	
6.22725835342e-08	7.20310566749e-08	-3.80348552653e-09	-0.0047169206664	0.00219364068471	1.00061798096	True	20	28	
4.69275924786e-08	-9.53959471417e-08	1.32602721692e-07	-0.000568792456761	0.000240905384999	1.00402832031	True	21	28	
-9.4938243933e-08	-1.72137859522e-07	1.31260208036e-07	-0.000754693057388	0.00119155528955	1.00118684769	True	22	28	
9.2311069011e-08	-5.86801007785e-08	6.75432758612e-08	-0.00458522839472	0.00250298040919	1.00019609928	True	23	28	
6.46605400334e-08	-4.13219574114e-08	3.54136133751e-08	-0.00211867433973	-0.000222752321861	1.00153315067	True	24	28	
