xRot	yRot	zRot	xAcc	yAcc	zAcc	status	seqnum	temp
-3.68091646052e-09	-2.02342569366e-08	-2.44909408309e-08	0.998195886612	0.000973095186055	0.000805243907962	True	61	33	
2.81739662711e-08	-2.85837950531e-11	-1.58954719609e-07	1.00087976456	0.00123593094759	-0.0026272344403	True	62	33	
4.14166017038e-08	-1.40041819918e-07	-8.05341215937e-08	1.0020455122	-0.00422106450424	-0.00180726463441	True	63	33	
-3.06539824635e-08	1.16699645503e-08	-2.01045963877e-07	0.99936568737	0.000605027773418	-0.00266648223624	True	64	33	
8.22935817268e-08	-7.71882895378e-08	6.86332910504e-08	0.995603442192	-0.00220781052485	-0.00610317010432	True	65	33	
1.51469464527e-07	-9.07102304382e-08	2.15419238003e-08	0.995821177959	-0.00335189839825	-0.00148777617142	True	66	33	
1.38713616593e-07	-3.95690555877e-08	1.89236128989e-08	0.999595284462	0.00156218197662	0.00139759166632	True	67	33	
-5.35858557527e-09	-1.27016974716e-07	2.62303132104e-07	0.998299121857	0.000827162759379	-0.00320623163134	True	68	33	
-1.00746433418e-07	1.14759650671e-08	9.4776467563e-08	0.997651100159	-0.00162322167307	-0.000415760383476	True	69	33	
5.78311869504e-08	-9.26036349824e-08	1.46694347336e-07	0.996236503124	0.000470916624181	0.00155375141185	True	70	33	
1.44672185343e-07	-3.76080810938e-09	1.51222096179e-07	0.996412992477	-0.00222748261876	-0.00369595107622	True	71	33	
1.35998419637e-07	8.90691520539e-09	3.22306732414e-08	0.999266326427	-0.000352429487975	-0.00115833955351	True	72	33	
1.36042302756e-07	-1.06557230595e-07	1.1445196435e-07	0.999679327011	0.00185857701581	-0.00503037823364	True	73	33	
1.24563172221e-07	-2.04641033008e-08	4.71947014802e-09	0.999866783619	0.00222389516421	-0.00222640810534	True	74	33	
-1.10188453917e-08	-3.53777345197e-08	8.80040360585e-08	0.996177732944	-0.0016389839584	0.00256124162115	True	75	33	
-1.18400251381e-07	1.94681064158e-07	1.63437462675e-07	0.998146533966	0.000126743805595	0.000924851861782	True	76	33	
4.48417729615e-08	3.9653997419e-08	4.16931698055e-08	0.998673677444	-0.00185370456893	-0.00246528582647	True	77	33	
-2.39626013476e-10	2.6804629627e-08	1.05948053886e-07	1.0016708374	-0.0019506260287	-0.00227798754349	True	78	33	
3.50142315142e-08	1.23552325704e-07	1.45517248029e-07	0.997413814068	0.0033032821957	0.000451889412943	True	79	33	
1.41328513337e-07	-4.65812277639e-08	7.11784551299e-08	0.992778480053	-0.00078692153329	-0.00303564895876	True	80	33	
1.63357629646e-08	8.93585365702e-08	1.68310563708e-07	0.998047530651	-0.000679275719449	-0.00343171670102	True	81	33	
6.03205876359e-08	7.22824111676e-08	6.09614758673e-08	0.996589124203	0.000454082852229	0.00215714913793	True	82	33	
1.10155404798e-07	4.19566141829e-08	3.43916326528e-08	0.997195899487	-0.00230843364261	-0.00132170622237	True	83	33	
1.9494993353e-07	7.23605992903e-08	1.01655970752e-07	0.997769057751	0.00087956461357	-0.00679681450129	True	84	33	
-5.53295542716e-09	2.63210555573e-08	-2.71146554098e-08	1.00050234795	-0.000836617546156	-0.000499801011756	True	85	33	
-7.59945493201e-08	-4.53778659093e-09	7.99805306428e-08	1.0001629591	0.00024726652191	-0.00175369111821	True	86	33	
5.05452142363e-08	1.41961564282e-07	-3.31441079027e-08	0.999840915203	-0.000263648194959	-2.91510223178e-05	True	87	33	
-2.86704420205e-08	-4.56153799178e-08	-2.31602008682e-08	0.996033549309	-0.00208498281427	0.00234796106815	True	88	33	
-6.77025511209e-08	-4.38461640329e-08	1.35538044788e-07	0.995347857475	-0.000721934775356	-0.000432374421507	True	89	33	
-5.38636335534e-08	1.20813608007e-08	-9.70780860143e-08	0.999679982662	0.00175864691846	-0.00263572018594	True	90	33	
5.65340663172e-08	4.6942837173e-08	6.08418488923e-08	0.998027026653	0.00108398566954	-0.000177535403054	True	91	33	
1.35908933885e-07	1.68095965591e-07	1.68297926706e-08	0.99844032526	-0.00181745225564	-0.00134811818134	True	92	33	
9.44605602626e-08	8.88782736297e-08	6.91812118703e-08	0.998606681824	0.000409479893278	-0.00138678844087	True	93	33	
-8.08164699606e-08	5.87964485987e-08	1.50916946495e-07	0.99919116497	0.0017803539522	-0.000316172547173	True	94	33	
-7.28919147264e-08	6.70580035944e-08	1.5826141464e-07	1.00054812431	0.00160049379338	0.000993151799776	True	95	33	
5.85457620161e-08	9.84910286661e-08	3.37395391625e-08	0.999086380005	-0.000423917488661	0.000136388058309	True	96	33	
-7.41699723861e-09	8.54040749232e-08	2.21004029299e-07	0.999247908592	-0.00465352321044	-0.00115922745317	True	97	33	
1.40654833558e-07	6.25048315328e-08	9.30455783532e-08	0.996492505074	-0.000175904075149	0.00234802509658	True	98	33	
1.77060798023e-07	1.1047791304e-07	1.65359939075e-08	0.998044312	-0.00468622148037	-0.00300099747255	True	99	33	
6.57004193272e-08	-2.35812080973e-08	1.40739174981e-07	0.995324730873	-0.0038580801338	-0.00144239549991	True	100	33	
-8.16405574255e-08	-3.71377524289e-08	-2.50562735005e-08	0.995629251003	-0.00149855902418	0.00154737720732	True	101	33	
1.11655701573e-07	3.18949950895e-08	8.68056417858e-08	1.00028800964	-0.00329184881411	-0.0030812388286	True	102	33	
4.6845705981e-08	2.94227557873e-08	1.42906557699e-07	0.998497605324	-0.00248743337579	-0.00219934154302	True	103	33	
1.08894532502e-07	1.14582590527e-07	8.12452327636e-08	0.99897390604	-0.00409621745348	-0.000626232184004	True	104	33	
1.04017360059e-07	-2.44338291822e-08	-5.84936543646e-08	1.00032138824	-0.00166739278939	-0.00275509268977	True	105	33	
8.23469861189e-08	-8.43752872015e-08	1.08807462595e-07	0.997577011585	-0.000735065317713	-0.000652841175906	True	106	33	
1.76850907252e-08	-8.06273590115e-08	9.22572453987e-08	0.999140381813	-0.00129318633117	0.00245182751678	True	107	33	
-7.12286976068e-08	-3.87856360362e-08	3.48847741805e-08	1.00269365311	-0.00268982793204	-0.000513708568178	True	108	33	
1.80230550484e-08	-5.54054651047e-08	1.21158674204e-08	0.997214257717	-0.00233905250207	0.00111607450526	True	109	33	
-4.34735198951e-08	-6.89337440463e-08	-7.13518986117e-08	0.995461344719	-0.00165292597376	-0.00123136420734	True	110	33	
9.87715083056e-08	-1.62972337847e-08	1.69052526644e-07	0.994916677475	-0.00491159176454	-0.00386485480703	True	111	33	
-1.59210173933e-08	-4.26924051666e-09	2.58947485676e-09	0.996677815914	0.00160551955923	-0.00405806861818	True	112	33	
-5.94360161088e-09	-2.05576114354e-07	9.71130020844e-08	0.998304307461	0.00094579719007	0.00124685722403	True	113	33	
3.7356084448e-08	-1.32089382987e-07	2.02417069772e-08	0.9986500144	0.00195728614926	-0.000969676300883	True	114	33	
